"Pick_number","Team","Round","Year","stuart","johnson","hill","otc","pff"
1,"CHI",1,2023,34.6,3000,1000,3000,1.135
2,"HOU",1,2023,30.2,2600,717.17,2635,1.099
3,"ARI",1,2023,27.6,2200,514.33,2421,1.063
4,"IND",1,2023,25.8,1800,490.52,2270,1.027
5,"SEA",1,2023,24.3,1700,467.81,2152,0.991
6,"DET",1,2023,23.2,1600,446.15,2056,0.955
7,"LV",1,2023,22.2,1500,425.5,1975,0.919
8,"ATL",1,2023,21.4,1400,405.8,1905,0.883
9,"CAR",1,2023,20.6,1350,387.01,1843,0.847
10,"PHI",1,2023,19.9,1300,369.09,1787,0.811
11,"TEN",1,2023,19.3,1250,357.62,1737,0.777
12,"HOU",1,2023,18.8,1200,346.51,1691,0.742
13,"NYJ",1,2023,18.3,1150,335.74,1649,0.715
14,"NE",1,2023,17.8,1100,325.31,1610,0.695
15,"GB",1,2023,17.4,1050,315.2,1574,0.675
16,"WAS",1,2023,16.9,1000,305.41,1540,0.66
17,"PIT",1,2023,16.6,950,295.92,1508,0.646
18,"DET",1,2023,16.2,900,286.72,1478,0.633
19,"TB",1,2023,15.8,875,277.81,1449,0.619
20,"SEA",1,2023,15.5,850,269.18,1422,0.606
21,"LAC",1,2023,15.2,800,260.82,1397,0.594
22,"BAL",1,2023,14.9,780,252.71,1372,0.584
23,"MIN",1,2023,14.6,760,244.86,1349,0.573
24,"JAX",1,2023,14.4,740,237.25,1326,0.565
25,"NYG",1,2023,14.1,720,229.88,1305,0.557
26,"DAL",1,2023,13.9,700,222.74,1284,0.549
27,"BUF",1,2023,13.6,680,215.81,1264,0.541
28,"CIN",1,2023,13.4,660,209.11,1245,0.533
29,"NO",1,2023,13.2,640,202.61,1227,0.525
30,"PHI",1,2023,12.9,620,196.31,1209,0.518
31,"KC",1,2023,12.7,600,190.21,1192,0.51
32,"PIT",2,2023,12.5,590,184.3,1175,0.502
33,"HOU",2,2023,12.3,580,179.54,1159,0.495
34,"ARI",2,2023,12.1,560,174.89,1143,0.487
35,"IND",2,2023,12,550,170.37,1128,0.48
36,"LAR",2,2023,11.8,540,165.97,1113,0.473
37,"SEA",2,2023,11.6,530,161.67,1098,0.465
38,"LV",2,2023,11.4,520,157.49,1084,0.458
39,"CAR",2,2023,11.3,510,153.42,1071,0.451
40,"NO",2,2023,11.1,500,149.45,1057,0.443
41,"TEN",2,2023,11,490,145.59,1044,0.436
42,"CLE",2,2023,10.8,480,141.82,1032,0.429
43,"NYJ",2,2023,10.6,470,138.15,1019,0.422
44,"ATL",2,2023,10.5,460,134.58,1007,0.415
45,"GB",2,2023,10.4,450,131.1,995,0.409
46,"NE",2,2023,10.2,440,127.71,984,0.402
47,"WAS",2,2023,10.1,430,124.41,973,0.396
48,"DET",2,2023,9.9,420,121.19,961,0.39
49,"PIT",2,2023,9.8,410,118.06,951,0.384
50,"TB",2,2023,9.7,400,115,940,0.378
51,"MIA",2,2023,9.6,390,112.03,929,0.373
52,"SEA",2,2023,9.4,380,109.13,919,0.368
53,"CHI",2,2023,9.3,370,106.31,909,0.363
54,"LAC",2,2023,9.2,360,103.56,899,0.357
55,"DET",2,2023,9.1,350,100.88,890,0.352
56,"JAX",2,2023,9,340,98.27,880,0.347
57,"NYG",2,2023,8.9,330,95.73,871,0.342
58,"DAL",2,2023,8.7,320,93.26,862,0.337
59,"BUF",2,2023,8.6,310,90.84,853,0.332
60,"CIN",2,2023,8.5,300,88.49,844,0.327
61,"CAR",2,2023,8.4,292,86.21,835,0.322
62,"PHI",2,2023,8.3,284,83.98,827,0.316
63,"KC",2,2023,8.2,276,81.81,818,0.311
64,"CHI",3,2023,8.1,270,76.69,810,0.306
65,"HOU",3,2023,8,265,77.95,802,0.301
66,"ARI",3,2023,7.9,260,76.25,794,0.296
67,"DEN",3,2023,7.8,255,74.59,786,0.292
68,"DEN",3,2023,7.7,250,72.97,778,0.287
69,"LAR",3,2023,7.6,245,71.38,770,0.283
70,"LV",3,2023,7.5,240,69.82,763,0.279
71,"NO",3,2023,7.5,235,68.3,755,0.275
72,"TEN",3,2023,7.4,230,66.81,748,0.271
73,"HOU",3,2023,7.3,225,65.36,741,0.267
74,"NYJ",3,2023,7.2,220,63.93,733,0.264
75,"ATL",3,2023,7.1,215,62.54,726,0.26
76,"NE",3,2023,7,210,61.18,719,0.257
77,"MIA",3,2023,6.9,205,59.85,713,0.254
78,"GB",3,2023,6.9,200,58.54,706,0.251
79,"IND",3,2023,6.8,195,57.27,699,0.248
80,"PIT",3,2023,6.7,190,56.02,692,0.246
81,"DET",3,2023,6.6,185,54.8,686,0.243
82,"TB",3,2023,6.5,180,53.6,679,0.24
83,"SEA",3,2023,6.5,175,52.44,673,0.237
84,"MIA",3,2023,6.4,170,51.29,667,0.234
85,"LAC",3,2023,6.3,165,50.18,660,0.231
86,"BAL",3,2023,6.2,160,49.08,654,0.229
87,"MIN",3,2023,6.2,155,48.01,648,0.226
88,"JAX",3,2023,6.1,150,46.97,642,0.223
89,"NYG",3,2023,6,145,45.94,636,0.221
90,"DAL",3,2023,5.9,140,44.94,630,0.219
91,"BUF",3,2023,5.9,136,43.96,625,0.217
92,"CIN",3,2023,5.8,132,43.01,619,0.214
93,"CAR",3,2023,5.7,128,42.07,613,0.212
94,"PHI",3,2023,5.7,124,41.15,607,0.21
95,"KC",3,2023,5.6,120,40.26,602,0.207
96,"ARI",3,2023,5.5,116,39.38,596,0.205
97,"WAS",3,2023,5.5,112,38.52,591,0.203
98,"CLE",3,2023,5.4,108,37.68,586,0.201
99,"SF",3,2023,5.3,104,36.86,580,0.199
100,"NYG",3,2023,5.3,100,36.06,575,0.196
101,"SF",3,2023,5.2,96,35.26,570,0.194
102,"SF",3,2023,5.1,92,34.49,564,0.192
103,"CHI",4,2023,5.1,88,33.73,559,0.19
104,"HOU",4,2023,5,86,32.98,554,0.187
105,"ARI",4,2023,5,84,32.26,549,0.185
106,"IND",4,2023,4.9,82,31.55,544,0.183
107,"NE",4,2023,4.8,80,30.85,539,0.181
108,"DEN",4,2023,4.8,78,30.17,534,0.179
109,"LV",4,2023,4.7,76,29.51,530,0.177
110,"ATL",4,2023,4.7,74,28.86,525,0.174
111,"CLE",4,2023,4.6,72,28.22,520,0.172
112,"NYJ",4,2023,4.6,70,27.6,515,0.17
113,"ATL",4,2023,4.5,68,27,511,0.168
114,"CAR",4,2023,4.4,66,26.4,506,0.166
115,"NO",4,2023,4.4,64,25.82,501,0.163
116,"GB",4,2023,4.3,62,25.25,497,0.161
117,"NE",4,2023,4.3,60,24.7,492,0.16
118,"WAS",4,2023,4.2,58,24.15,488,0.158
119,"MIN",4,2023,4.2,56,23.62,483,0.157
120,"PIT",4,2023,4.1,54,23.41,479,0.155
121,"JAX",4,2023,4.1,52,22.59,475,0.154
122,"KC",4,2023,4,50,22.09,470,0.153
123,"SEA",4,2023,4,49,21.61,466,0.151
124,"BAL",4,2023,3.9,48,21.13,462,0.15
125,"LAC",4,2023,3.9,47,20.67,457,0.149
126,"CLE",4,2023,3.8,46,20.21,453,0.148
127,"JAX",4,2023,3.8,45,19.77,449,0.146
128,"NYG",4,2023,3.7,44,19.33,445,0.145
129,"DAL",4,2023,3.7,43,18.91,441,0.144
130,"BUF",4,2023,3.6,42,18.49,437,0.143
131,"CIN",4,2023,3.6,41,18.08,433,0.142
132,"CAR",4,2023,3.5,40,17.68,429,0.141
133,"CHI",4,2023,3.5,40,17.29,425,0.139
134,"KC",4,2023,3.4,39,16.91,421,0.138
135,"NE",4,2023,3.4,39,16.54,417,0.137
136,"LAR",4,2023,3.3,38,16.18,413,0.136
137,"CHI",5,2023,3.3,38,15.82,409,0.135
138,"HOU",5,2023,3.2,37,15.47,405,0.134
139,"BUF",5,2023,3.2,37,15.13,401,0.133
140,"IND",5,2023,3.1,36,14.8,398,0.132
141,"DEN",5,2023,3.1,36,14.47,394,0.13
142,"CLE",5,2023,3,35,14.15,390,0.129
143,"LV",5,2023,3,35,13.84,387,0.128
144,"CLE",5,2023,3,34,13.54,383,0.127
145,"NYJ",5,2023,2.9,34,13.24,379,0.126
146,"LV",5,2023,2.9,33,12.95,376,0.125
147,"CAR",5,2023,2.8,33,12.66,372,0.124
148,"NO",5,2023,2.8,32,12.38,368,0.122
149,"TEN",5,2023,2.7,32,12.11,365,0.121
150,"CHI",5,2023,2.7,31,11.85,361,0.12
151,"GB",5,2023,2.7,31,11.58,358,0.119
152,"WAS",5,2023,2.6,31,11.33,354,0.118
153,"SEA",5,2023,2.6,30,11.08,351,0.117
154,"DET",5,2023,2.5,30,10.84,348,0.116
155,"TB",5,2023,2.5,29,10.6,344,0.114
156,"SEA",5,2023,2.4,29,10.36,341,0.113
157,"SF",5,2023,2.4,29,10.14,337,0.112
158,"LAC",5,2023,2.4,28,9.91,334,0.111
159,"BAL",5,2023,2.3,28,9.69,331,0.11
160,"MIN",5,2023,2.3,27,9.48,327,0.109
161,"ATL",5,2023,2.2,27,9.27,324,0.108
162,"NYG",5,2023,2.2,27,9.07,321,0.107
163,"DAL",5,2023,2.2,26,8.87,318,0.106
164,"IND",5,2023,2.1,26,8.67,314,0.104
165,"CIN",5,2023,2.1,25,8.48,311,0.103
166,"SF",5,2023,2,25,8.3,308,0.102
167,"NO",5,2023,2,25,8.11,305,0.101
168,"KC",5,2023,2,24,7.93,302,0.1
169,"ARI",5,2023,1.9,24,7.76,299,0.099
170,"DAL",5,2023,1.9,23,7.59,295,0.098
171,"GB",5,2023,1.9,23,7.42,292,0.097
172,"LAR",5,2023,1.8,23,7.26,289,0.096
173,"SF",5,2023,1.8,22,7.1,286,0.095
174,"LV",5,2023,1.7,22,6.94,283,0.094
175,"TB",5,2023,1.7,21,6.79,280,0.092
176,"DAL",5,2023,1.7,21,6.64,277,0.091
177,"MIN",5,2023,1.6,21,6.49,274,0.09
178,"MIA",6,2023,1.6,20,6.35,271,0.089
179,"NYJ",6,2023,1.6,20,6.21,268,0.088
180,"ARI",6,2023,1.5,19,6.07,265,0.087
181,"TB",6,2023,1.5,19,5.94,262,0.086
182,"LAR",6,2023,1.5,19,5.81,260,0.085
183,"DET",6,2023,1.4,18,5.68,257,0.084
184,"NE",6,2023,1.4,18,5.56,254,0.083
185,"JAX",6,2023,1.4,17,5.43,251,0.082
186,"TEN",6,2023,1.3,17,5.31,248,0.081
187,"NE",6,2023,1.3,17,5.2,245,0.08
188,"HOU",6,2023,1.3,16,5.08,242,0.079
189,"LAR",6,2023,1.2,16,4.97,240,0.078
190,"CLE",6,2023,1.2,15,4.86,237,0.077
191,"LAR",6,2023,1.2,15,4.75,234,0.077
192,"NE",6,2023,1.1,15,4.65,231,0.076
193,"WAS",6,2023,1.1,14,4.55,229,0.075
194,"DET",6,2023,1.1,14,4.45,226,0.074
195,"DEN",6,2023,1,13,4.35,223,0.073
196,"TB",6,2023,1,13,4.25,221,0.072
197,"KC",6,2023,1,13,4.16,218,0.071
198,"SEA",6,2023,0.9,12,4.07,215,0.07
199,"BAL",6,2023,0.9,12,3.98,213,0.069
200,"LAC",6,2023,0.9,11,3.89,210,0.068
201,"HOU",6,2023,0.8,11,3.81,207,0.068
202,"JAX",6,2023,0.8,11,3.72,205,0.067
203,"HOU",6,2023,0.8,10,3.64,202,0.066
204,"LV",6,2023,0.7,10,3.56,199,0.065
205,"BUF",6,2023,0.7,9,3.48,197,0.065
206,"CIN",6,2023,0.7,9,3.4,194,0.064
207,"HOU",6,2023,0.6,9,3.33,192,0.063
208,"JAX",6,2023,0.6,8,3.26,189,0.063
209,"NYG",6,2023,0.6,8,3.18,187,0.062
210,"NE",6,2023,0.6,7,3.11,184,0.061
211,"LAR",6,2023,0.5,7,3.05,182,0.061
212,"DAL",6,2023,0.5,7,2.98,179,0.06
213,"ARI",6,2023,0.5,6,2.91,177,0.06
214,"LV",6,2023,0.4,6,2.85,174,0.06
215,"WAS",6,2023,0.4,5,2.79,172,0.059
216,"SF",6,2023,0.4,5,2.73,169,0.059
217,"KC",6,2023,0.3,5,2.67,167,0.058
218,"NYG",6,2023,0.3,4,2.61,165,0.058
219,"KC",6,2023,0.3,4,2.55,162,0.058
220,"CHI",7,2023,0.3,3,2.49,160,0.057
221,"PHI",7,2023,0.2,3,2.44,157,0.057
222,"LV",7,2023,0.2,3,2.38,155,0.056
223,"IND",7,2023,0.2,2,2.33,153,0.056
224,"SF",7,2023,0.1,2,2.28,150,0.056
225,"LAR",7,2023,0,0,2.23,148,0.055
226,"ATL",7,2023,0,0,2.18,146,0.055
227,"KC",7,2023,0,0,2.13,143,0.054
228,"JAX",7,2023,0,0,2.09,141,0.054
229,"NO",7,2023,0,0,2.04,139,0.054
230,"TEN",7,2023,0,0,2,136,0.053
231,"CLE",7,2023,0,0,1.95,134,0.053
232,"TB",7,2023,0,0,1.91,132,0.052
233,"LV",7,2023,0,0,1.87,129,0.052
234,"GB",7,2023,0,0,1.83,127,0.052
235,"WAS",7,2023,0,0,1.79,125,0.051
236,"PIT",7,2023,0,0,1.75,123,0.051
237,"GB",7,2023,0,0,1.71,121,0.051
238,"IND",7,2023,0,0,1.67,118,0.05
239,"HOU",7,2023,0,0,1.63,116,0.05
240,"MIA",7,2023,0,0,1.6,114,0.05
241,"LAC",7,2023,0,0,1.56,112,0.05
242,"NYG",7,2023,0,0,1.53,110,0.05
243,"PIT",7,2023,0,0,1.49,107,0.049
244,"GB",7,2023,0,0,1.46,105,0.049
245,"NYG",7,2023,0,0,1.43,103,0.049
246,"DAL",7,2023,0,0,1.4,101,0.049
247,"ATL",7,2023,0,0,1.37,99,0.049
248,"CIN",7,2023,0,0,1.34,97,0.049
249,"SF",7,2023,0,0,1.31,94,0.048
250,"PHI",7,2023,0,0,1.28,92,0.048
251,"KC",7,2023,0,0,1.25,90,0.048
252,"LAR",7,2023,0,0,1.22,88,0.048
253,"TB",7,2023,0,0,1.2,86,0.048
254,"NYG",7,2023,0,0,1.17,84,0.048
255,"SF",7,2023,0,0,1.14,82,0.047
256,"GB",7,2023,0,0,1.12,80,0.047
257,"KC",7,2023,0,0,1.1,78,0.047
258,"NE",7,2023,0,0,1.08,76,0.047
259,"GB",7,2023,0,0,1.06,74,0.047
260,"NO",7,2023,0,0,1.04,72,0.046
